groep_id;optie_id;naam;blok;soort;volgorde;eenheid;min;max;stap;standaard;prijs;prijs_per_eenheid;gratis_tot;alleen_bij_model;alleen_bij
bank;breedte;Breedte;Maatvoering;maat;10;cm;140;340;10;220;;;;;
bank;diepte;Zitdiepte;Maatvoering;keuze;20;;;;;d100;;;;;
bank;opstelling;Opstelling;Maatvoering;keuze;30;;;;;recht;;;;;
bank;armleuning;Armleuning;Maatvoering;keuze;40;;;;;smal;;;;;
bank;stofgroep;Stofgroep;Bekleding;keuze;50;;;;;B;;;;;
bank;kleur;Kleur;Bekleding;kleur;60;;;;;zand;;;;;
bank;poten;Poten;Uitvoering;keuze;70;;;;;metaal;;;;;
bank;rugverstelling;Verstelbare rug;Uitvoering;schakelaar;80;;;;;nee;240;;;;
bank;slaapfunctie;Slaapfunctie;Uitvoering;schakelaar;90;;;;;nee;420;;;;
eettafel;breedte;Breedte;Maatvoering;maat;10;cm;140;320;10;200;;;;;
eettafel;diepte;Diepte;Maatvoering;keuze;20;;;;;d100;;;;;
eettafel;rand;Randafwerking;Maatvoering;keuze;30;;;;;recht;;;;;
eettafel;kleur;Kleur blad;Bekleding;kleur;40;;;;;naturel;;;;;
eettafel;onderstel;Onderstel;Uitvoering;keuze;50;;;;;u-frame;;;;;
eettafel;verlengbaar;Verlengbaar, 2 x 50 cm;Uitvoering;schakelaar;60;;;;;nee;295;;;;
eettafel;beschermlaag;Beschermlaag;Uitvoering;schakelaar;70;;;;;nee;85;;;;
kast;breedte;Breedte;Maatvoering;maat;10;cm;100;400;10;250;;;;;
kast;hoogte;Hoogte;Maatvoering;maat;20;cm;180;280;5;240;;;;;
kast;diepte;Diepte;Maatvoering;keuze;30;;;;;d60;;;;;
kast;deuren;Aantal deuren;Maatvoering;aantal;40;;2;6;;3;140;;;;
kast;front;Front;Bekleding;keuze;50;;;;;melamine;;;;;
kast;kleur;Kleur front;Bekleding;kleur;60;;;;;wit;;;;;
kast;greep;Greep;Uitvoering;keuze;70;;;;;inkeping;;;;;
kast;legplanken;Legplanken;Indeling;aantal;80;;1;10;;4;32;;;;
kast;lades;Lades;Indeling;aantal;90;;0;6;;0;95;;;;
kast;roede;Hangroede;Indeling;schakelaar;100;;;;;ja;65;;;KST-SCH|KST-DRA;
kast;verlichting;Ledverlichting;Indeling;schakelaar;110;;;;;nee;180;;;;
raamdecoratie;breedte;Breedte;Maatvoering;maat;10;cm;40;300;1;140;;;;;
raamdecoratie;hoogte;Hoogte;Maatvoering;maat;20;cm;40;320;1;180;;;;;
raamdecoratie;montage;Montage;Maatvoering;keuze;30;;;;;in-de-dag;;;;;
raamdecoratie;doek;Doek;Bekleding;keuze;40;;;;;licht;;;;;
raamdecoratie;kleur;Kleur;Bekleding;kleur;50;;;;;linnen;;;;;
raamdecoratie;bediening;Bediening;Uitvoering;keuze;60;;;;;ketting-rechts;;;;;
raamdecoratie;cassette;Cassette;Uitvoering;schakelaar;70;;;;;nee;58;;;;
raamdecoratie;inmeten;Inmeetservice;Uitvoering;schakelaar;80;;;;;nee;45;;;;
